TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
Ohio St,109.30489875515,88.425039989928,0.91966760201635,25–9,25,34,50.3,45.2,42.8,29.7,17.1,22.0,30.0,30.0,65.0,51.0,45.7,32.6,29.4,12.3,8.6,49.9,43.4,33.2,31.7,65.3,2014,4.5090273889593,68.9,71.0,73.52941176470588,3.0,1326,0,341,5,150.34000000000026
New Mexico,113.76415043603,97.132287775269,0.86027988001284,27–6,27,33,51.4,44.9,47.0,31.2,15.9,14.9,32.8,28.6,65.7,51.8,41.4,33.7,34.4,13.5,7.7,61.6,49.9,31.8,35.1,66.3,2014,4.542975191153,72.7,72.5,81.81818181818181,1.0,1307,0,273,7,-135.77999999999997
Colorado,108.03314255949,95.677395134549,0.8016666848101,23–11,23,34,48.5,49.3,48.4,30.6,19.4,18.1,34.3,26.0,67.3,48.7,46.9,32.0,35.7,9.3,9.0,49.1,54.1,30.2,35.9,67.0,2014,2.4476293599148,71.6,69.8,67.6470588235294,2.0,1160,0,99,16,-315.23000000000013
Pittsburgh,117.11777640245,94.379926611252,0.92289120717938,25–9,25,34,50.9,46.8,46.0,37.0,16.5,19.2,37.7,28.8,62.9,50.0,45.3,35.6,33.1,8.6,10.4,62.8,53.6,26.8,33.4,64.1,2014,4.1699325546291,71.1,70.5,73.52941176470588,1.0,1338,1,344,4,-151.45999999999992
Stanford,112.53379546409,97.771363609595,0.83440188439608,21–12,21,33,51.9,48.3,44.6,37.0,16.8,17.0,29.5,28.0,67.1,50.3,45.8,37.1,35.5,11.5,6.6,46.6,56.7,29.3,33.7,67.3,2014,1.1580387388611,70.3,71.9,63.63636363636363,3.0,1390,2,161,9,-109.32000000000016
Dayton,113.21398475358,100.62727498945,0.79500259761799,23–10,23,33,52.6,49.4,41.3,43.2,18.1,19.1,34.9,28.6,65.7,50.7,48.5,37.8,34.3,7.3,11.7,50.9,52.1,31.6,32.1,65.4,2014,0.70136888141163,68.1,70.6,69.6969696969697,2.0,1173,3,190,13,93.45000000000005
SF Austin,110.79158806431,100.64297231224,0.75116261249013,29–2,29,31,52.4,50.2,40.1,52.5,16.8,24.4,38.5,29.3,65.1,52.3,49.5,35.2,34.8,9.2,9.8,62.6,47.2,35.8,25.9,63.8,2014,1.8323328467431,71.1,68.8,93.54838709677419,0.0,1372,1,397,14,358.84000000000026
Tulsa,106.12345360976,97.292497853844,0.73088821701481,21–12,21,33,49.3,46.3,47.8,48.3,16.5,20.4,30.1,29.4,68.7,49.6,42.9,32.5,35.3,10.7,8.3,50.7,49.9,31.7,34.2,68.5,2014,-3.4500540761762,67.5,68.6,63.63636363636363,0.0,1409,0,189,17,-177.01
W Michigan,105.04461017034,102.12606264044,0.58030786727561,22–9,22,31,52.4,47.3,51.7,34.9,20.9,18.5,31.4,31.6,66.6,54.1,47.6,33.0,31.2,10.0,9.7,46.8,52.5,35.0,38.6,67.0,2014,-2.7700699760576,71.8,71.1,70.96774193548387,0.0,1444,0,126,29,-49.319999999999936
E Kentucky,111.02038545377,107.73493468604,0.58551602889452,22–9,22,31,57.0,55.5,43.7,55.3,16.0,24.2,23.0,33.4,67.1,56.2,56.1,38.6,36.3,5.7,11.2,54.9,57.2,43.9,36.2,66.1,2014,-3.1944626677848,75.4,71.4,70.96774193548387,0.0,1184,0,169,31,380.48
SUNY Albany,102.24346968222,104.10184048202,0.44839779239767,18–14,18,32,48.7,48.2,42.5,29.2,19.8,18.7,32.4,29.2,63.1,46.6,45.6,36.4,35.2,8.8,8.1,49.3,54.3,26.4,36.1,63.2,2014,-8.5249002404913,74.8,72.2,56.25,0.0,1107,0,70,45,-309.76000000000033
Mt St Mary's,107.45632537319,111.69615598398,0.39054433093969,16–16,16,32,51.7,53.4,37.3,34.4,17.0,18.8,28.3,33.1,70.2,50.4,54.3,35.6,33.6,6.8,8.3,45.8,45.3,42.8,24.0,70.0,2014,-9.3577805553928,74.1,73.2,50.0,0.0,1291,0,-55,47,717.28
Wichita St,115.51802428159,93.537631388329,0.91887966732693,33–0,33,33,52.0,44.8,47.3,35.6,16.2,18.5,35.4,25.9,64.5,52.0,43.7,34.7,31.3,14.9,7.6,54.0,48.3,36.5,35.4,65.2,2014,8.232693742218,72.9,65.2,100.0,2.0,1455,1,497,2,158.5300000000002
Michigan,122.98194989853,99.728998778156,0.91760049373238,25–8,25,33,55.5,49.6,35.9,27.6,14.8,17.3,28.9,28.9,63.1,53.1,50.4,39.4,32.1,6.8,7.8,55.5,49.1,40.0,32.1,63.0,2014,7.7427777302325,76.1,73.3,75.75757575757575,7.0,1276,3,298,4,545.5899999999999
Duke,126.06346555481,97.806761121876,0.94875853877432,26–8,26,34,54.0,49.0,39.3,40.2,14.4,18.7,35.1,31.7,65.4,50.8,50.0,39.4,30.5,7.5,9.8,54.5,44.2,39.0,24.0,66.8,2014,6.5147062455072,72.6,68.8,76.47058823529412,5.0,1181,0,393,2,804.5999999999999
Louisville,119.24280350611,88.213534301661,0.96970813248128,29–5,29,34,54.0,43.8,40.4,38.2,14.9,25.2,37.3,32.9,69.1,53.0,43.9,37.1,29.1,12.4,7.2,54.2,49.9,35.6,30.7,69.0,2014,5.3848224339704,65.9,67.7,85.29411764705883,5.0,1257,2,719,1,427.39
St Louis,105.38951351221,90.040637390388,0.85937680025485,25–6,25,31,49.7,44.0,40.6,34.3,18.6,21.0,29.2,29.1,67.4,50.5,44.1,32.0,29.1,10.3,12.4,58.0,46.8,32.6,25.7,67.4,2014,3.9022994757851,71.1,69.4,80.64516129032258,1.0,1387,1,256,9,295.33000000000004
Massachusetts,109.73823270871,96.132733301033,0.82086683781595,24–8,24,32,50.6,46.4,40.0,36.7,18.8,18.8,34.3,31.6,71.7,50.1,46.2,34.7,31.3,12.6,12.8,55.7,55.5,26.4,27.0,71.7,2014,3.6592585266405,68.2,67.1,75.0,0.0,1269,0,171,13,70.98000000000002
Texas,110.84402850488,95.137224118138,0.85286404589929,23–10,23,33,47.4,46.0,43.8,40.5,17.7,16.6,39.4,30.0,69.4,46.9,42.9,32.4,34.2,16.0,8.3,49.5,53.6,26.4,35.9,68.9,2014,3.6519295274469,66.4,68.9,69.6969696969697,4.0,1400,1,135,10,-372.4200000000001
Kentucky,115.85497589944,95.664264186658,0.90044559390784,24–10,24,34,49.7,45.0,53.8,37.8,18.1,16.3,42.2,29.9,66.8,50.0,44.0,32.5,31.7,15.4,7.8,45.7,44.7,28.0,29.4,66.5,2014,3.9557670541252,68.2,68.5,70.58823529411765,2.0,1246,5,315,5,-21.979999999999905
Kansas St,108.139638323,92.981443940238,0.8502762067624,20–12,20,32,49.0,45.4,40.8,45.5,18.5,18.8,35.0,33.0,65.7,48.4,46.0,33.4,29.4,8.0,10.0,63.5,52.8,32.3,31.2,64.9,2014,0.55489384673883,65.8,68.5,62.5,3.0,1243,0,128,11,161.53999999999996
Arizona St,109.86047497403,95.526262177146,0.83310771901583,21–11,21,32,52.3,46.0,42.0,37.0,16.3,17.1,24.2,30.1,69.0,48.9,45.0,38.6,32.4,13.1,11.6,56.1,46.8,37.5,27.5,69.3,2014,1.2135617570734,69.4,64.4,65.625,1.0,1113,0,197,12,556.5
Iowa,120.8112839711,97.911535131878,0.91810705961086,20–12,20,32,51.3,47.3,45.8,34.8,16.1,19.0,38.1,28.9,70.3,50.7,47.0,35.3,32.0,13.7,8.0,57.9,52.6,27.5,37.2,71.2,2014,1.1994592389763,73.3,70.0,62.5,2.0,1234,0,381,7,-219.6500000000002
Tennessee,116.15219153695,93.576016878014,0.92311640903479,20–12,20,32,49.3,45.9,41.3,33.1,17.2,17.2,39.7,27.6,62.9,49.2,43.9,33.0,34.0,12.1,10.0,49.6,44.5,30.6,27.3,63.4,2014,0.40857400323806,70.8,69.4,62.5,1.0,1397,2,292,3,81.60000000000002
NC State,113.23379528892,101.59507839291,0.77682954380666,21–13,21,34,49.8,47.4,36.4,43.1,15.9,17.5,34.7,36.2,64.8,51.3,47.1,30.3,32.0,10.4,8.3,49.3,48.1,25.8,30.8,66.5,2014,0.66395257477775,66.1,72.1,61.76470588235294,3.0,1301,0,45,14,-203.86
Xavier,112.63579699062,99.089541510555,0.81359792884949,21–12,21,33,51.9,49.1,42.0,39.8,18.7,17.0,34.1,28.8,65.8,51.5,46.8,35.4,35.4,8.4,11.6,57.9,61.6,27.1,36.0,66.0,2014,1.4622596567962,68.8,66.6,63.63636363636363,3.0,1462,0,141,14,-315.05999999999983
Manhattan,106.37633254075,97.403920498684,0.73367357699996,25–7,25,32,50.8,45.6,55.9,52.5,19.7,21.8,34.8,33.1,70.4,48.9,44.2,36.7,32.7,15.4,12.1,52.4,52.9,31.3,27.9,69.7,2014,-0.3774209186983,66.2,69.7,78.125,0.0,1264,0,236,17,236.38
Mercer,108.43075876554,100.96685307278,0.69427338984996,23–8,23,31,53.9,46.5,37.3,41.6,17.8,19.2,32.6,30.1,66.0,51.3,46.8,38.8,30.6,11.9,9.4,59.4,53.3,37.2,36.3,65.4,2014,-2.6439837321262,73.5,68.8,74.19354838709677,0.0,1273,1,302,24,332.5799999999999
Wofford,100.11805850252,103.21655891996,0.41325850269185,17–12,17,29,49.2,49.3,33.9,40.0,16.4,19.7,31.2,29.1,62.5,47.3,49.6,35.9,32.5,4.3,9.5,51.1,44.2,29.5,28.0,62.2,2014,-6.4325198970498,66.5,68.7,58.62068965517241,0.0,1459,0,66,46,149.04999999999995
Cal Poly,102.97738817036,104.11324232192,0.46850374673115,11–19,11,30,46.3,49.1,33.0,42.9,14.8,17.9,30.8,33.0,60.7,44.1,48.3,33.5,34.0,7.7,10.3,52.3,55.5,35.1,31.0,60.3,2014,-10.599476350543,68.7,72.7,36.666666666666664,0.0,1142,0,-82,42,121.85000000000014
TX Southern,106.55694848261,112.77991307795,0.34237577380433,18–14,18,32,51.6,49.9,49.5,29.4,19.2,15.8,33.5,31.1,67.8,50.6,48.5,35.9,35.5,8.2,10.5,55.0,50.5,32.4,29.6,67.6,2014,-9.6414866064101,71.1,68.4,56.25,0.0,1411,0,67,63,112.3599999999999
Arizona,114.95154040106,86.70577760399,0.96241665637611,30–4,30,34,51.6,42.2,41.7,34.5,16.0,19.0,37.2,26.0,64.5,50.9,40.5,35.6,31.4,10.7,7.7,57.5,45.0,26.5,26.2,64.6,2014,9.4761860334373,65.5,70.3,88.23529411764706,5.0,1112,3,507,1,120.72000000000014
Wisconsin,121.85980539593,96.581264728026,0.93545041378764,26–7,26,33,53.1,47.5,44.1,25.9,12.6,15.6,27.9,27.7,63.8,51.3,46.2,37.3,34.3,8.3,9.0,50.1,39.5,39.3,25.3,64.3,2014,7.9589100773155,74.4,71.8,78.78787878787878,6.0,1458,4,296,4,598.0999999999999
Creighton,126.47869173411,100.41380106662,0.93425115445365,26–7,26,33,59.3,48.0,34.3,32.9,15.2,15.1,28.1,27.8,65.5,56.2,46.8,42.1,33.6,3.8,8.9,64.5,50.8,44.7,34.8,65.6,2014,5.6549335468827,75.2,69.5,78.78787878787878,3.0,1166,1,400,3,712.5900000000001
San Diego St,108.4172806901,90.60569326373,0.88734562694143,27–4,27,31,46.8,44.4,44.9,31.8,15.3,21.1,36.1,29.5,63.7,45.4,43.6,33.9,30.8,13.8,10.7,39.7,48.4,25.2,31.0,64.4,2014,6.0617072727988,66.4,68.2,87.09677419354838,2.0,1361,2,326,6,-100.5200000000001
Oklahoma,118.43731683769,99.817804638025,0.87728084245677,23–9,23,32,52.0,49.5,40.0,38.4,15.8,17.7,32.3,30.6,72.0,49.3,48.6,37.8,34.0,8.4,8.5,53.1,47.8,36.8,35.1,71.8,2014,4.1034813748874,75.0,70.9,71.875,4.0,1328,0,201,8,197.63999999999965
Baylor,118.09451367792,101.06921194884,0.85696610783523,22–11,22,33,51.4,48.6,43.7,32.7,18.2,15.9,41.1,32.9,63.9,48.2,45.6,38.4,36.7,14.6,7.7,58.1,62.6,34.5,32.3,62.8,2014,3.1295895329061,67.3,67.5,66.66666666666667,5.0,1124,2,178,8,139.38999999999987
Oregon,117.33093494143,100.60617466614,0.85427418615814,23–9,23,32,53.4,49.3,42.9,48.0,16.3,19.3,32.8,31.8,70.0,50.7,49.7,39.2,32.3,8.8,10.0,52.7,50.1,33.9,31.6,69.4,2014,2.6648263344712,76.6,70.9,71.875,2.0,1332,1,251,8,308.20000000000016
Gonzaga,114.59550874325,93.867163793837,0.90842647746189,27–6,27,33,55.4,44.4,40.6,38.3,16.9,17.8,30.7,29.5,66.5,54.0,42.8,38.7,31.8,10.3,8.3,54.4,47.1,32.7,31.6,66.1,2014,4.0452724872217,71.0,71.2,81.81818181818181,0.0,1211,1,372,5,260.6100000000001
Oklahoma St,116.4283058774,94.513522033506,0.91668435422205,21–12,21,33,52.8,46.0,49.4,40.0,14.7,20.0,27.7,32.2,69.4,51.5,44.8,36.8,32.2,12.3,9.9,51.6,46.4,34.2,32.9,69.0,2014,1.382758366011,72.4,69.0,63.63636363636363,1.0,1329,0,371,6,199.17999999999984
BYU,114.21767693057,100.40487692512,0.81491910858729,22–11,22,33,51.0,49.0,47.6,36.0,15.3,16.7,35.0,28.6,73.5,49.5,47.8,37.3,34.1,7.4,8.8,53.4,54.0,22.2,35.1,73.1,2014,0.64528838285089,68.8,71.0,66.66666666666667,2.0,1140,0,220,12,-368.85000000000014
Nebraska,108.63548441759,96.021248980351,0.80524884830753,19–12,19,31,48.3,47.7,42.8,43.1,16.7,19.0,26.1,28.9,65.3,47.1,47.6,33.9,31.9,8.9,9.1,42.7,50.8,33.3,35.7,66.3,2014,1.2883325125711,71.9,67.4,61.29032258064516,3.0,1304,0,66,12,-9.960000000000036
N Dakota St,114.84875975991,104.91444838946,0.73893011688417,22–6,22,28,55.0,50.1,41.7,40.5,15.5,17.4,31.4,27.4,64.1,56.0,46.8,34.9,37.5,12.7,5.0,43.3,51.1,27.1,34.7,64.5,2014,0.3212275075264,75.4,75.4,78.57142857142857,0.0,1295,1,204,14,-355.46000000000004
New Mexico St,112.10483075647,102.11793833797,0.74517066329458,25–9,25,34,53.5,44.4,54.8,33.7,18.8,16.1,37.9,33.2,66.9,53.2,42.8,36.2,33.1,13.5,6.1,50.3,39.7,26.8,23.0,67.1,2014,-2.2100743891258,68.6,73.1,73.52941176470588,1.0,1308,0,311,18,208.86
Louisiana,110.90539937349,104.87919287221,0.6553154378183,20–11,20,31,51.9,50.1,44.9,44.1,19.1,18.7,36.7,32.1,70.9,49.9,50.3,37.4,33.0,9.7,13.7,47.8,44.7,32.3,30.1,70.2,2014,-3.6591804223216,66.5,70.2,64.51612903225806,1.0,1418,0,112,29,214.7199999999997
American Univ,103.46743594093,98.519817760557,0.63725988826213,20–12,20,32,56.3,45.9,34.9,41.2,22.9,19.9,27.0,29.9,60.8,55.7,45.4,38.2,31.3,10.1,8.1,65.7,50.1,35.6,30.7,61.4,2014,-5.3376735706378,71.0,67.3,62.5,0.0,1110,0,170,25,399.0100000000001
Weber St,105.23020158494,106.64060117854,0.46179694841946,17–11,17,28,54.8,47.4,50.0,35.1,19.1,13.6,28.0,28.7,64.0,52.2,46.7,39.4,33.1,8.7,5.9,55.4,47.1,37.3,22.4,64.4,2014,-6.8072578110423,73.8,71.1,60.714285714285715,0.0,1451,0,105,43,728.18
