TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,3P%ODDIFF
Belmont,113.42914466581,101.34943363558,0.78498333206762,25–5,25,30,57.8,48.9,28.1,27.7,15.4,16.3,25.6,24.3,74.2,59.5,47.2,37.1,34.7,9.1,10.3,61.9,44.5,43.8,34.7,72.5,2019,1.3725163754188,73.6,69.8,83.33333333333333,0.0,1125,0,366,420.8899999999999
Liberty,108.69876495566,99.692413914898,0.73000436912003,25–6,25,31,56.1,48.7,26.0,32.4,17.2,20.8,25.7,26.5,65.0,56.9,48.4,36.6,32.9,7.5,8.8,53.5,46.0,42.0,37.1,63.2,2019,-0.43006447125665,77.9,66.7,80.64516129032258,0.0,1251,1,307,316.6100000000001
St Louis,101.09854814876,95.377959392089,0.66147065542099,23–12,23,35,46.8,46.9,39.7,32.9,19.0,19.4,36.1,25.3,66.9,47.1,46.9,30.8,31.3,12.1,10.2,54.3,54.9,32.6,38.0,67.6,2019,-2.9627963594448,59.8,71.8,65.71428571428571,0.0,1387,0,116,-185.32000000000005
Yale,110.14557153897,102.00972638578,0.70732947453929,21–7,21,28,56.1,47.2,30.5,30.6,18.1,15.2,26.3,24.4,72.6,56.1,47.5,37.4,31.2,11.1,7.5,56.8,48.8,34.6,38.2,72.2,2019,-0.70293418938387,73.3,73.7,75.0,0.0,1463,0,201,102.19999999999982
Bradley,99.989106248025,101.12218032775,0.46764904067779,19–14,19,33,49.7,47.6,36.3,35.3,18.9,18.6,27.1,26.7,65.8,46.7,46.4,36.8,33.0,11.5,7.2,52.2,53.6,35.2,39.6,66.3,2019,-7.61600639821,69.2,71.9,57.57575757575758,0.0,1133,0,39,-11.440000000000055
N Dakota St,105.79558114011,108.74568950352,0.42158072426487,16–15,16,31,53.8,53.6,32.1,26.2,15.8,14.6,20.7,25.4,66.5,52.4,52.9,36.8,36.6,6.6,9.7,46.1,45.0,48.2,35.7,66.4,2019,-8.4006340736651,76.5,74.6,51.61290322580645,0.0,1295,0,-45,467.1399999999999
Gonzaga,124.11094991034,91.590272229297,0.97052471734772,30–3,30,33,59.6,44.2,36.0,25.1,14.5,18.9,30.6,27.1,71.6,62.3,43.1,36.5,30.9,13.3,4.9,55.9,41.1,35.3,34.6,71.9,2019,7.1503009045353,76.7,69.5,90.9090909090909,2.0,1211,3,785,219.30999999999972
Michigan,115.25883742987,86.247129219232,0.96559628494067,28–6,28,34,52.1,44.1,27.0,24.9,13.5,18.3,24.5,25.5,65.3,51.8,44.5,35.0,28.9,10.6,9.8,54.2,45.3,40.2,29.1,65.8,2019,9.1828640258291,69.8,65.6,82.3529411764706,4.0,1276,2,402,566.01
Texas Tech,112.07039591107,86.315372217585,0.95270380767683,26–6,26,32,53.7,42.8,33.5,37.6,18.2,23.0,28.6,28.6,67.7,52.9,41.3,36.8,30.1,15.3,6.9,51.3,48.7,35.5,39.7,67.6,2019,7.0093431967924,72.8,69.2,81.25,6.0,1403,5,442,111.42999999999961
Florida St,111.29575002604,92.062229908765,0.89860798945659,27–7,27,34,50.7,47.3,36.3,36.1,19.2,20.3,33.1,26.9,69.3,51.0,46.2,33.6,32.6,12.5,8.3,49.8,44.2,38.3,38.8,69.9,2019,7.669459727496,74.1,72.5,79.41176470588235,7.0,1199,2,265,22.0
Marquette,112.21356583986,95.659116697271,0.86242135246976,24–9,24,33,54.1,45.9,35.9,35.7,19.5,16.6,29.1,26.2,70.7,50.5,44.8,39.3,31.9,11.1,8.8,51.8,50.1,41.7,35.7,70.4,2019,2.8052264628321,75.9,68.2,72.72727272727273,2.0,1266,0,285,499.98
Buffalo,113.22210290549,95.191552377471,0.8802492173434,30–3,30,33,53.4,47.2,32.2,31.5,15.6,20.4,31.6,26.7,74.7,55.8,48.8,33.6,29.7,10.5,8.5,55.0,40.1,43.9,36.1,75.3,2019,5.7488940607056,68.8,69.6,90.9090909090909,1.0,1138,1,456,402.8699999999999
Nevada,112.87483221694,95.503729466395,0.87234053777826,29–4,29,33,54.1,47.6,40.7,27.6,14.4,19.2,26.5,24.7,70.9,55.1,46.0,35.1,33.4,11.1,7.2,54.0,52.0,42.8,40.0,70.7,2019,4.1190960374271,70.8,67.2,87.87878787878788,0.0,1305,0,462,166.27999999999997
Syracuse,109.40982169208,93.477219057058,0.85935019784531,20–13,20,33,49.5,47.5,36.8,34.8,18.4,23.2,30.1,33.3,67.3,49.5,46.5,33.0,32.3,16.7,9.7,50.3,67.7,42.8,47.6,67.4,2019,0.50886678141157,68.1,72.3,60.60606060606061,1.0,1393,0,133,-125.08000000000015
Baylor,112.02382223311,98.083980920827,0.82174369421004,19–13,19,32,50.9,48.6,32.6,36.5,19.9,18.5,38.1,28.8,66.7,50.9,47.1,34.0,34.1,13.9,12.2,54.3,55.3,40.4,37.8,66.6,2019,0.94716533040743,67.4,68.0,59.375,4.0,1124,1,143,84.61999999999989
Florida,109.81682287842,91.378515768379,0.89223132327418,19–15,19,34,49.9,48.4,30.4,33.6,18.0,22.6,31.1,31.7,64.8,49.8,48.6,33.5,32.0,11.3,8.9,51.1,48.8,43.4,38.0,64.2,2019,0.64241166219001,71.8,69.0,55.88235294117647,2.0,1196,1,157,237.89999999999986
Arizona St,108.88610849047,97.888320216393,0.77284835814325,22–10,22,32,50.8,48.6,43.6,38.6,18.5,18.9,32.5,26.4,72.1,50.6,47.2,34.1,33.6,9.7,9.1,51.1,54.8,35.7,43.5,71.7,2019,0.2292427389063,67.1,70.9,68.75,2.0,1113,0,152,-244.23000000000002
Murray St,110.49640230391,98.489983511292,0.7896510394641,25–4,25,29,55.2,46.4,33.2,28.4,17.2,19.5,32.4,30.0,71.1,57.2,48.4,34.4,28.5,11.3,9.2,58.4,45.4,36.9,35.4,70.0,2019,1.3484797974368,74.1,71.9,86.20689655172414,0.0,1293,1,383,260.4599999999999
Vermont,107.21506218333,98.124541246425,0.73475658152127,26–6,26,32,52.4,49.0,36.3,26.2,16.6,19.4,27.5,21.8,65.7,52.0,46.5,35.3,35.3,11.9,8.6,46.3,47.2,40.4,38.2,66.7,2019,-0.75243990051898,75.3,72.5,81.25,0.0,1436,0,306,77.65999999999985
N Kentucky,108.36962424932,101.59807894641,0.67743672658776,24–8,24,32,55.0,48.9,35.5,35.2,17.6,18.5,30.7,26.5,69.3,55.3,49.5,36.4,31.9,11.1,11.3,62.1,51.2,41.5,39.2,69.6,2019,-2.0335915642611,67.0,72.8,75.0,0.0,1297,0,248,260.1199999999999
Montana,106.72266715603,103.17508943078,0.59598669020602,24–8,24,32,56.7,50.0,32.0,37.0,17.4,19.3,27.7,25.0,68.3,56.2,49.0,38.3,34.6,7.9,8.5,52.1,44.7,38.3,36.2,67.6,2019,-3.0113170622945,69.6,74.5,75.0,0.0,1285,0,235,214.36999999999966
F Dickinson,104.78801421991,110.26774736977,0.35751207216712,18–13,18,31,54.5,51.5,35.5,30.2,19.4,20.4,29.4,33.1,67.9,51.2,51.6,40.4,34.3,10.2,9.2,53.2,51.5,35.0,38.5,68.3,2019,-9.1526798828193,74.3,70.3,58.064516129032256,0.0,1192,0,70,93.45000000000005
North Carolina,119.22912978357,91.238149018938,0.95593823513112,27–6,27,33,52.9,48.3,30.9,28.9,17.1,18.5,34.6,23.2,76.1,51.9,47.5,36.5,32.9,9.8,11.1,61.3,54.7,35.9,42.5,76.3,2019,9.979454037027,74.2,68.3,81.81818181818181,9.0,1314,2,433,-87.90000000000009
Kentucky,116.8835516249,91.674403424489,0.94233725299654,27–6,27,33,53.3,47.0,42.5,27.1,18.5,18.4,36.6,25.8,67.9,52.7,43.6,36.4,35.0,14.2,7.7,52.1,48.2,29.8,38.3,67.2,2019,8.7637863229353,74.0,70.6,81.81818181818181,9.0,1246,3,373,-255.77999999999997
Houston,114.1039051875,90.934920217875,0.93150890619424,31–3,31,34,52.1,42.4,31.9,37.6,16.8,18.2,34.7,26.2,67.5,50.8,43.1,35.9,27.6,13.8,6.7,55.8,50.1,42.9,41.1,67.4,2019,7.932720961553,70.2,69.2,91.17647058823529,2.0,1222,2,489,405.7499999999998
Kansas,112.54786969697,92.240378758306,0.9079015270764,25–9,25,34,52.3,47.8,32.9,27.7,18.7,18.5,29.7,28.3,70.6,52.2,45.9,35.0,33.6,11.0,9.0,48.8,52.8,35.0,41.4,71.4,2019,8.3317857890493,69.7,68.1,73.52941176470588,8.0,1242,1,180,-166.03999999999996
Auburn,119.40433509875,95.927166042261,0.92537008718219,25–9,25,34,54.2,51.8,31.0,36.6,17.5,25.3,32.7,32.9,68.9,51.3,50.4,38.1,35.6,16.0,12.1,53.0,51.8,49.6,44.1,69.3,2019,6.1211311036388,71.6,71.2,73.52941176470588,3.0,1120,4,350,319.8000000000002
Iowa St,118.17812937048,96.132442527735,0.91485122051354,23–11,23,34,54.9,48.5,30.3,23.6,16.2,18.8,28.5,30.0,68.7,55.0,47.1,36.5,33.8,12.8,7.5,54.5,49.9,39.6,39.3,69.0,2019,4.2909604505097,73.2,71.5,67.6470588235294,7.0,1235,0,310,117.0600000000004
Wofford,115.80149781799,97.875309162219,0.87370326706086,26–4,26,30,57.8,50.2,27.7,31.8,16.2,19.3,32.3,24.6,68.1,54.3,50.9,41.6,32.7,8.9,7.6,50.2,48.5,43.5,40.2,67.1,2019,4.1795410787673,70.5,70.7,86.66666666666667,0.0,1459,1,410,495.05999999999995
Utah St,111.19385206051,95.887369158633,0.8459469367555,27–6,27,33,54.3,46.2,36.7,34.1,17.9,17.2,31.7,22.2,69.9,54.7,42.1,35.7,34.8,12.3,9.1,61.8,50.5,38.0,40.1,69.3,2019,2.245430718171,74.8,70.8,81.81818181818181,0.0,1429,0,394,-38.87999999999988
Washington,105.96690651321,93.410533458994,0.81006173266018,26–8,26,34,52.1,47.3,35.1,34.5,19.8,24.0,29.6,34.4,67.2,52.3,46.0,34.6,33.1,16.2,7.6,47.5,58.5,39.8,35.3,67.2,2019,3.2906332897027,69.4,70.6,76.47058823529412,1.0,1449,1,185,208.64999999999986
Seton Hall,107.76883391478,96.960463690116,0.77124946190436,20–13,20,33,49.9,49.3,34.8,32.6,17.5,20.0,29.3,29.4,70.1,50.8,48.7,32.4,33.6,11.2,11.7,51.8,53.5,36.4,39.8,70.3,2019,-0.2852935337022,70.8,73.9,60.60606060606061,2.0,1371,0,81,-157.92000000000007
Ohio St,108.34311353988,94.096342166738,0.83497653338057,19–14,19,33,50.5,48.2,34.0,31.8,18.7,18.4,27.7,26.1,66.9,49.9,47.4,34.3,33.0,7.3,9.4,59.0,50.8,39.7,37.4,67.2,2019,0.85265846073568,73.4,74.4,57.57575757575758,1.0,1326,1,113,127.50999999999999
New Mexico St,111.55682760766,98.799421182606,0.80164179620432,28–4,28,32,54.0,48.7,34.1,32.4,17.7,19.3,37.2,22.6,67.7,56.6,48.0,34.1,33.1,7.5,5.9,53.0,37.4,46.4,39.1,66.9,2019,1.6322523315024,67.3,71.0,87.5,0.0,1308,0,411,288.03
Northeastern,110.04231084019,102.81929765084,0.68584316019239,23–10,23,33,57.2,51.8,34.3,28.0,16.7,16.7,22.7,24.3,66.2,56.4,52.5,38.8,33.6,5.9,7.2,54.7,45.7,46.3,35.9,67.7,2019,-2.5812491752188,75.1,73.1,69.6969696969697,0.0,1318,0,192,590.1999999999998
Georgia St,107.63240402032,101.32868130129,0.66686746128637,23–9,23,32,54.4,50.1,35.7,31.3,16.6,21.1,23.3,33.6,71.1,51.8,50.5,38.4,33.0,14.4,9.8,46.0,58.5,43.7,45.7,71.2,2019,-1.097052870161,65.6,69.8,71.875,0.0,1209,0,88,169.98000000000002
Abilene Chr,102.21758293697,100.97111977202,0.53521547308727,23–6,23,29,52.4,49.6,34.5,38.4,17.4,23.4,27.7,27.8,66.6,49.8,49.2,38.3,33.5,7.5,8.2,57.6,48.9,34.2,33.4,66.9,2019,-2.4736155850388,72.3,72.3,79.3103448275862,0.0,1101,0,198,190.96000000000004
Iona,105.18465223698,110.07047274932,0.37235211323311,17–15,17,32,53.0,52.3,37.1,28.8,17.3,18.6,25.7,30.1,71.3,53.3,50.2,35.1,36.8,8.0,11.4,50.4,55.8,43.6,42.9,72.1,2019,-10.19406268715,74.1,68.3,53.125,0.0,1233,0,39,-48.35999999999967
Virginia,122.56689848182,88.748160373274,0.97617309102336,29–3,29,32,55.7,43.5,30.3,27.9,14.7,17.8,30.0,25.9,61.1,52.2,45.5,40.9,27.2,12.3,8.4,56.6,43.9,38.7,40.9,61.0,2019,11.092503932685,74.6,65.1,90.625,9.0,1438,6,537,470.35000000000014
Tennessee,122.87244227756,95.036875161629,0.9504588178248,28–5,28,33,55.3,47.4,33.4,34.4,15.9,18.2,31.6,30.3,69.4,55.7,44.6,36.2,34.4,14.8,6.3,60.9,52.3,31.8,39.8,68.8,2019,9.8256831319448,76.7,65.7,84.84848484848484,7.0,1397,2,402,-217.9599999999998
Purdue,121.03653619467,95.616182981233,0.93768016929932,23–9,23,32,52.7,49.5,29.4,32.7,15.9,19.5,35.0,26.6,66.4,51.2,47.9,36.4,34.4,13.0,11.4,53.9,55.2,44.5,43.0,67.0,2019,6.104849230568,73.2,73.3,71.875,3.0,1345,3,300,140.5999999999999
Kansas St,106.48598876096,87.508702972003,0.90526673187879,25–8,25,33,49.5,48.1,30.7,30.5,17.4,22.9,28.1,25.6,65.0,49.0,49.1,33.6,31.2,7.8,8.4,57.9,54.8,38.2,42.8,64.7,2019,6.5572597117094,66.4,66.6,75.75757575757575,7.0,1243,0,217,-51.83999999999969
Wisconsin,108.87847142634,88.784349415696,0.91263587070744,23–10,23,33,51.5,44.8,27.5,25.9,14.4,17.2,24.0,26.5,64.9,49.8,43.7,36.6,31.2,11.3,10.7,49.3,45.6,34.1,35.1,64.8,2019,6.2320024453103,64.9,66.5,69.6969696969697,2.0,1458,0,252,152.94000000000005
Villanova,115.13784678773,98.698159330465,0.85467311414856,25–9,25,34,53.4,49.9,35.3,28.6,17.0,18.1,30.8,27.3,65.7,53.9,49.7,35.3,33.5,8.9,8.8,57.7,56.2,53.5,39.3,65.1,2019,3.7294406611976,72.7,69.9,73.52941176470588,1.0,1437,1,251,572.0
Cincinnati,112.07565411834,93.877469678153,0.88468994910659,28–6,28,34,49.0,48.1,38.1,30.5,16.1,20.9,37.6,29.4,64.8,47.3,44.7,35.0,35.1,14.7,9.6,54.1,50.6,33.1,42.8,64.9,2019,5.9092002950493,70.4,66.4,82.3529411764706,1.0,1153,0,323,-343.78
Mississippi,113.12068261501,96.624983263064,0.85967652396015,20–12,20,32,53.0,50.6,31.7,33.2,18.2,21.0,30.4,29.5,69.2,52.6,47.8,35.8,37.2,9.8,9.9,54.2,55.6,39.5,34.9,69.6,2019,0.95176434534004,78.3,70.0,62.5,3.0,1279,0,161,115.81999999999994
Oklahoma,108.8707901114,92.766656086716,0.86305000418306,19–13,19,32,50.2,47.1,31.4,24.1,17.4,17.5,26.2,27.9,69.8,49.6,45.0,34.2,33.3,8.5,9.4,48.9,50.0,33.2,41.0,70.4,2019,2.5329438741871,69.1,67.4,59.375,3.0,1328,1,94,-229.85999999999967
Iowa,116.39640078835,100.5043080951,0.84398884102937,22–11,22,33,52.6,51.6,42.3,28.8,17.2,18.5,29.9,29.0,70.3,51.5,53.4,36.1,32.6,9.3,7.8,60.1,59.0,39.0,41.4,70.9,2019,3.1874897096183,74.0,68.4,66.66666666666667,3.0,1234,1,154,58.25999999999999
St Mary's CA,114.17451901039,97.299223900473,0.86286318124628,22–11,22,33,54.0,48.6,29.7,29.4,16.3,16.4,31.3,23.2,64.4,52.5,49.1,37.8,31.8,6.9,9.2,37.9,43.0,35.0,31.4,64.0,2019,-0.60470251928363,74.5,73.9,66.66666666666667,1.0,1388,0,282,324.48
Oregon,106.42440589802,92.895687204385,0.82685696083156,23–12,23,35,51.7,46.8,30.3,35.3,17.8,21.0,29.7,28.1,65.9,51.9,49.0,34.3,29.4,14.5,8.1,52.6,55.6,39.3,45.2,65.3,2019,-0.97220871651075,71.9,70.3,65.71428571428571,0.0,1332,2,264,19.109999999999673
UC Irvine,105.5082292148,97.046037646149,0.72341000796588,29–5,29,34,51.4,43.7,28.6,33.8,17.1,16.7,33.6,26.4,66.1,50.3,40.7,36.0,33.3,10.9,6.8,48.8,42.9,32.0,32.7,66.5,2019,0.93344795951744,70.0,70.9,85.29411764705883,1.0,1414,1,301,63.08999999999992
Old Dominion,100.40321494399,95.491017003437,0.64034539037176,26–8,26,34,47.7,45.6,29.6,32.4,17.9,18.6,32.3,24.8,65.5,44.5,43.5,35.3,32.5,14.1,6.8,54.0,52.7,37.3,40.1,66.0,2019,-1.5731271123751,66.0,66.7,76.47058823529412,1.0,1330,0,181,13.439999999999827
Colgate,108.40313256768,105.51422268751,0.57703882304668,23–10,23,33,55.9,50.6,28.9,28.6,19.3,18.0,30.3,26.9,67.5,53.9,50.4,39.1,33.9,9.9,9.5,57.9,52.1,41.0,40.9,68.1,2019,-4.1152670786074,74.3,71.0,69.6969696969697,0.0,1159,0,179,216.59000000000015
Gardner Webb,105.50122405208,107.24659008167,0.45296587579881,20–11,20,31,54.8,50.2,39.2,27.7,16.8,18.1,22.6,31.0,68.3,53.8,49.9,37.7,33.8,7.4,8.8,51.8,54.3,37.3,45.0,68.5,2019,-4.8604306414396,71.6,72.5,64.51612903225806,0.0,1205,0,73,-114.78999999999974
